alpha,k,accuracy,time
5,4,0.54284,"[0.73688,0.3488]","[0.530863,0.570009]",5624850924
5,8,0.56128,"[0.71088,0.41168]","[0.547167,0.587443]",5604721398
5,12,0.56884,"[0.70104,0.43664]","[0.554445,0.593583]",5589310562
5,20,0.57792,"[0.70232,0.45352]","[0.562396,0.603727]",5602118509
5,40,0.58628,"[0.71472,0.45784]","[0.568646,0.616105]",5610080060
5,100,0.59332,"[0.73624,0.4504]","[0.572575,0.630671]",5604929261
5,200,0.59264,"[0.74296,0.44232]","[0.571226,0.632464]",5622095157
5,300,0.59096,"[0.75184,0.43008]","[0.568817,0.634112]",5618253550
10,4,0.54892,"[0.75616,0.34168]","[0.534585,0.58355]",8036465085
10,8,0.56612,"[0.73608,0.39616]","[0.549346,0.60017]",8074765825
10,12,0.57232,"[0.7268,0.41784]","[0.55525,0.604654]",8123462070
10,20,0.58392,"[0.73016,0.43768]","[0.564929,0.618611]",7948285666
10,40,0.59544,"[0.74656,0.44432]","[0.573289,0.636781]",8109699674
10,100,0.59868,"[0.76024,0.43712]","[0.574581,0.645787]",8108877854
10,200,0.59876,"[0.7688,0.42872]","[0.573697,0.649655]",7901533825
10,300,0.59508,"[0.77616,0.414]","[0.569801,0.649066]",8114590903
15,4,0.55112,"[0.7596,0.34264]","[0.536077,0.587678]",10401164762
15,8,0.57064,"[0.74552,0.39576]","[0.552335,0.608637]",10339567963
15,12,0.57944,"[0.742,0.41688]","[0.559949,0.61771]",10167533189
15,20,0.58928,"[0.74456,0.434]","[0.568124,0.629496]",10306285405
15,40,0.59856,"[0.75776,0.43936]","[0.574757,0.644601]",10339780817
15,100,0.60248,"[0.77984,0.42512]","[0.575647,0.658815]",10342275661
15,200,0.60168,"[0.78672,0.41664]","[0.574215,0.661417]",10345307409
15,300,0.59916,"[0.79432,0.404]","[0.571322,0.662643]",10350153829
20,4,0.55904,"[0.78064,0.33744]","[0.540909,0.606034]",12614345332
20,8,0.58028,"[0.776,0.38456]","[0.557696,0.631918]",12635347046
