k,accuracy,recall_per_label,precision_per_label,time
25,0.65604,"[0.73768,0.5744]","[0.634138,0.68649]",2529910514161
50,0.65328,"[0.77392,0.53264]","[0.623485,0.702024]",2527210240667
75,0.65652,"[0.76304,0.55]","[0.629031,0.698892]",2526025905717
125,0.65436,"[0.77144,0.53728]","[0.625073,0.701556]",2528734504115
250,0.6496,"[0.7848,0.5144]","[0.617758,0.705044]",2529606571661
625,0.6412,"[0.78136,0.50104]","[0.610285,0.696198]",2527817770203
1250,0.63484,"[0.77112,0.49856]","[0.60596,0.685362]",2527543800099
1875,0.63196,"[0.76912,0.4948]","[0.603553,0.681843]",2527710343281
