k,time
27,8123880
27,7920052
27,7962406
27,7948248
27,8031786
27,7876284
27,7910926
27,7971260
28,7979788
28,7913293
28,7846072
28,8016175
28,7977754
28,7960552
28,7996784
28,8012967
28,7883632
28,7921430
28,7966262
28,7988812
28,7798396
28,7948036
28,8029316
28,8020963
28,7897595
28,7837016
28,8026047
28,7947011
29,7902840
29,7984517
29,7969319
29,7883701
29,7932800
29,7883998
29,7953133
29,7847152
29,7971267
29,8001409
29,7972711
29,7948141
29,7966541
29,8010274
29,8015523
29,7828176
29,7793604
29,8006250
29,7952542
29,7941542
30,7824986
30,7919907
30,7954324
30,7876077
30,7927326
30,8002036
30,7933588
30,7921338
30,8010228
30,7989855
30,7886495
30,7919617
30,7913190
30,7941670
30,7850097
30,7897604
30,8032061
30,8045342
30,7957013
30,7849029
31,7944137
31,7961247
31,7997397
31,7833097
31,7848734
31,7830388
31,7815094
31,7841599
31,7833966
31,7845648
31,7837715
31,7858532
31,7837970
31,7842562
31,7849270
31,7837476
31,7844633
31,7836827
31,7840717
31,7835219
32,7835786
32,7832930
32,7933119
32,8014551
32,7870113
32,7911359
32,7867372
32,7990362
32,7878608
32,7962495
32,7919709
32,8022888
32,7912322
32,7931333
32,8041586
32,7959524
32,7895050
32,7930940
32,8022644
32,7914198
33,7899319
33,7835653
33,7972884
33,7899005
33,7871166
33,7806605
33,7952102
33,7946763
33,8003295
33,7857286
33,7837354
33,7824749
33,7913244
33,7903261
33,7819371
33,7877365
33,7875980
33,7933698
33,7962942
33,7908252
34,7983525
34,7958472
34,7911200
34,7810944
34,7910871
34,7925443
34,7860866
34,7864020
34,7934336
34,7915479
34,7911099
34,7865073
34,8032160
34,7906161
34,7934160
34,7931902
34,8024253
34,7889301
34,7814808
34,7873870
35,8038438
35,8040299
35,7923343
35,7891501
35,7969747
35,7935060
35,7963729
35,7942756
35,7923921
35,7959830
35,7929912
35,7942672
35,7863105
35,7860768
35,7929265
35,7974783
35,7893474
35,7842804
35,7955878
35,8007712
36,7894036
36,7889402
36,7917443
36,7894869
36,7950025
36,7960381
36,8043573
36,7928644
36,8005090
36,7921564
36,7928334
36,7936624
36,7858983
36,7970297
36,8061386
36,7878679
36,7843287
36,7954454
36,7957068
36,7932547
37,7877842
37,7967290
37,8045555
37,7911080
37,7928843
37,8066487
37,7900661
37,7990970
37,7928511
37,7994719
37,7854334
37,7915292
37,7960754
37,8024647
37,7816208
37,7878637
37,7923005
37,8056683
37,7936309
37,7921069
38,7881181
38,7869088
38,7942605
38,7894167
38,7941204
38,7822162
38,7924992
38,7899524
38,7945582
38,7881521
