k,accuracy,recall_per_label,precision_per_label,time
20,0.63644,"[0.7968,0.47608]","[0.603307,0.70086]",2020501747063
40,0.64012,"[0.79232,0.48792]","[0.607421,0.701438]",2020622487260
60,0.646,"[0.79424,0.49776]","[0.612613,0.707528]",2020630853684
100,0.64576,"[0.79984,0.49168]","[0.611424,0.710685]",2023198202829
200,0.64308,"[0.80808,0.47808]","[0.607579,0.713552]",2022501657131
500,0.63692,"[0.81752,0.45632]","[0.600588,0.714339]",2021966134837
1000,0.63048,"[0.82032,0.44064]","[0.594573,0.710343]",2022007692554
1500,0.62896,"[0.8272,0.43072]","[0.592346,0.71368]",2021964618823
