alpha,k,accuracy,time
5,2,0.53164,"[0.80544,0.25784]","[0.520445,0.569938]",3326364739
5,4,0.5458,"[0.76432,0.32728]","[0.531871,0.581356]",3224894487
5,6,0.55728,"[0.75016,0.3644]","[0.541335,0.593253]",3230942475
5,10,0.56988,"[0.74384,0.39592]","[0.551843,0.607165]",3226795334
5,20,0.58432,"[0.75392,0.41472]","[0.562963,0.627603]",3226691526
5,50,0.58888,"[0.77304,0.40472]","[0.564956,0.640704]",3228635072
5,100,0.59212,"[0.79912,0.38512]","[0.565149,0.657201]",3231513622
5,150,0.58808,"[0.8184,0.35776]","[0.560302,0.663305]",3231851481
10,2,0.53916,"[0.82416,0.25416]","[0.524943,0.59107]",4896153297
10,4,0.5498,"[0.79064,0.30896]","[0.53361,0.59608]",4875071420
10,6,0.5582,"[0.7848,0.3316]","[0.54005,0.606437]",4880624999
10,10,0.56388,"[0.77776,0.35]","[0.544741,0.611631]",4884095687
10,20,0.58148,"[0.79704,0.36592]","[0.556934,0.643229]",4882450820
10,50,0.5866,"[0.83032,0.34288]","[0.558221,0.668956]",4879689830
10,100,0.58348,"[0.8616,0.30536]","[0.553642,0.68812]",4887420409
10,150,0.58,"[0.87776,0.28224]","[0.55014,0.697785]",4906083713
15,2,0.54132,"[0.836,0.24664]","[0.525998,0.600623]",6514428112
15,4,0.55548,"[0.81384,0.29712]","[0.536579,0.614799]",6466930078
15,6,0.56244,"[0.806,0.31888]","[0.541987,0.621744]",6468384819
15,10,0.56856,"[0.80168,0.33544]","[0.546759,0.628447]",6465407344
15,20,0.5832,"[0.8192,0.3472]","[0.556522,0.657576]",6497006379
15,50,0.58612,"[0.848,0.32424]","[0.556518,0.680833]",6470557095
15,100,0.58516,"[0.87552,0.2948]","[0.553874,0.70311]",6467827860
15,150,0.58012,"[0.89104,0.2692]","[0.549401,0.711868]",6465909734
20,2,0.54456,"[0.84464,0.24448]","[0.527847,0.611445]",8358991670
20,4,0.55888,"[0.82048,0.29728]","[0.538655,0.62349]",8103567441
20,6,0.56612,"[0.8156,0.31664]","[0.544111,0.631966]",8105912254
20,10,0.57744,"[0.81984,0.33504]","[0.552155,0.650311]",8141031821
20,20,0.58788,"[0.8376,0.33816]","[0.558609,0.675563]",8314441545
20,50,0.5894,"[0.87232,0.30648]","[0.557094,0.705915]",8257196499
20,100,0.58288,"[0.89904,0.26672]","[0.550774,0.725413]",8100658232
20,150,0.57736,"[0.91192,0.2428]","[0.546348,0.733801]",8128642770
50,2,0.55564,"[0.85224,0.25904]","[0.534923,0.636775]",20292912857
50,4,0.56916,"[0.82728,0.31104]","[0.545613,0.642963]",20192153932
