k,accuracy,recall_per_label,precision_per_label,time
37,0.65916,"[0.7576,0.56072]","[0.632979,0.698177]",3789723660224
75,0.65728,"[0.77264,0.54192]","[0.627795,0.704451]",3788727286465
112,0.65188,"[0.78776,0.516]","[0.619425,0.708558]",3793667042318
187,0.6512,"[0.7876,0.5148]","[0.618793,0.707921]",3792873248659
375,0.6438,"[0.79928,0.48832]","[0.609691,0.708696]",3797847029144
937,0.6352,"[0.80904,0.46136]","[0.600321,0.70726]",3798787395872
1875,0.62808,"[0.8112,0.44496]","[0.593746,0.702095]",3788475038981
2812,0.62636,"[0.82344,0.42928]","[0.590635,0.70857]",3787938561467
