alpha,k,accuracy,recall,precision,time
5,25,0.58888,"[0.64488,0.53288]","[0.579928,0.60009]",33194082676
5,50,0.5926,"[0.69368,0.49152]","[0.577028,0.616063]",33125380633
5,75,0.59324,"[0.68056,0.50592]","[0.579378,0.612969]",33122054762
5,125,0.59764,"[0.69784,0.49744]","[0.58134,0.622111]",33108169214
5,250,0.59592,"[0.71744,0.4744]","[0.577166,0.626717]",33104910606
5,625,0.59472,"[0.73248,0.45696]","[0.57426,0.630742]",33114027879
5,1250,0.59184,"[0.74784,0.43584]","[0.57,0.633488]",33123352103
5,1875,0.58964,"[0.75416,0.42512]","[0.567447,0.6336]",33193577901
10,25,0.61316,"[0.6836,0.54272]","[0.599187,0.631716]",42865036302
10,50,0.6172,"[0.72832,0.50608]","[0.59589,0.650689]",42586413512
10,75,0.62012,"[0.7152,0.52504]","[0.600928,0.648326]",42564571554
10,125,0.61832,"[0.72328,0.51336]","[0.597792,0.649757]",42567284558
10,250,0.61724,"[0.74192,0.49256]","[0.59384,0.656187]",42580877363
10,625,0.61448,"[0.75352,0.47544]","[0.589572,0.658577]",42613163401
10,1250,0.60684,"[0.76144,0.45224]","[0.581607,0.654661]",42638922526
10,1875,0.6056,"[0.77,0.4412]","[0.57947,0.65733]",42662987950
15,25,0.6212,"[0.71584,0.52656]","[0.60191,0.649497]",51312747556
15,50,0.62428,"[0.76048,0.48808]","[0.597674,0.670808]",50877596740
15,75,0.62524,"[0.74752,0.50296]","[0.60063,0.665784]",50867857791
15,125,0.62404,"[0.75504,0.49304]","[0.598288,0.668076]",50883859458
15,250,0.62384,"[0.77528,0.4724]","[0.595051,0.677645]",50911160525
15,625,0.61964,"[0.78272,0.45656]","[0.590215,0.67755]",50916925877
15,1250,0.61264,"[0.79552,0.42976]","[0.582474,0.677598]",50918529553
15,1875,0.61028,"[0.80176,0.4188]","[0.579742,0.678724]",50942916086
20,25,0.63092,"[0.728,0.53384]","[0.609634,0.662464]",60241237846
20,50,0.63276,"[0.76888,0.49664]","[0.604351,0.682423]",59694312159
20,75,0.63432,"[0.75632,0.51232]","[0.607974,0.677672]",59732948735
20,125,0.63812,"[0.77144,0.5048]","[0.609044,0.688339]",59754107421
20,250,0.6334,"[0.7876,0.4792]","[0.601957,0.692886]",59693701941
20,625,0.62676,"[0.79824,0.45528]","[0.594389,0.692926]",59806777983
20,1250,0.62076,"[0.81144,0.43008]","[0.587421,0.695202]",59735957160
20,1875,0.61608,"[0.81848,0.41368]","[0.582631,0.695027]",59768344967
50,25,0.6594,"[0.72408,0.59472]","[0.641142,0.683084]",112444486833
50,50,0.65736,"[0.7588,0.55592]","[0.630819,0.697411]",111174704602
50,75,0.66224,"[0.75056,0.57392]","[0.637884,0.697046]",111119613636
50,125,0.6588,"[0.7568,0.5608]","[0.632776,0.697512]",111177898071
50,250,0.65816,"[0.77256,0.54376]","[0.628711,0.705083]",111154724391
50,625,0.64772,"[0.77936,0.51608]","[0.616934,0.70051]",111160741168
50,1250,0.63972,"[0.78944,0.49]","[0.607523,0.69944]",111146909516
50,1875,0.633,"[0.7964,0.4696]","[0.600241,0.697564]",111144443063
100,25,0.65668,"[0.73016,0.5832]","[0.636605,0.683673]",200119668350
100,50,0.65596,"[0.76768,0.54424]","[0.627477,0.700834]",197129235509
100,75,0.65836,"[0.75488,0.56184]","[0.632737,0.696243]",197012504908
100,125,0.65708,"[0.766,0.54816]","[0.628982,0.700828]",196872749390
100,250,0.6528,"[0.77976,0.52584]","[0.621858,0.704804]",197084372826
100,625,0.64564,"[0.78784,0.50344]","[0.613391,0.703522]",197427314795
100,1250,0.63624,"[0.79736,0.47512]","[0.603037,0.701015]",197572329350
100,1875,0.63292,"[0.80368,0.46216]","[0.599082,0.701859]",197607574522
500,25,0.65544,"[0.74704,0.56384]","[0.631373,0.690304]",1024925833869
500,50,0.65468,"[0.78784,0.52152]","[0.622149,0.710828]",1004389734996
500,75,0.65948,"[0.77816,0.5408]","[0.628887,0.709116]",1006649767178
500,125,0.65812,"[0.78952,0.52672]","[0.625214,0.714487]",1008731241967
500,250,0.65428,"[0.80448,0.50408]","[0.61864,0.720526]",1006769566066
500,625,0.64604,"[0.80528,0.4868]","[0.610764,0.714286]",993723500326
500,1250,0.63832,"[0.8112,0.46544]","[0.602782,0.711421]",1000934800369
500,1875,0.63604,"[0.81856,0.45352]","[0.59966,0.71425]",1003881890157
1200,25,0.66008,"[0.74608,0.57408]","[0.636587,0.693333]",2426518631142
1200,50,0.66176,"[0.78856,0.53496]","[0.629036,0.71672]",2385061197596
1200,75,0.66688,"[0.78136,0.5524]","[0.63579,0.716435]",2378142964749
1200,125,0.66384,"[0.79464,0.53304]","[0.629867,0.721885]",2435503115186
1200,250,0.65876,"[0.81648,0.50104]","[0.62069,0.731915]",2414549475750
1200,625,0.65128,"[0.82576,0.4768]","[0.612146,0.732367]",2396975785065
1200,1250,0.64384,"[0.83504,0.45264]","[0.604051,0.732902]",2395258783815
1200,1875,0.6396,"[0.84232,0.43688]","[0.599328,0.734795]",2368453949412
1500,25,0.66136,"[0.75872,0.564]","[0.635061,0.700378]",2952866947457
1500,50,0.66116,"[0.80168,0.52064]","[0.625804,0.724157]",2891116419126
1500,75,0.66428,"[0.79392,0.53464]","[0.630455,0.721784]",2893808780894
1500,125,0.66264,"[0.8068,0.51848]","[0.626242,0.72853]",2895414507518
1500,250,0.65372,"[0.82456,0.48288]","[0.614573,0.733503]",2896556107078
1500,625,0.646,"[0.8304,0.4616]","[0.606663,0.731305]",2897281742264
1500,1250,0.63704,"[0.83544,0.43864]","[0.59811,0.727188]",2897930991499
1500,1875,0.63424,"[0.83968,0.4288]","[0.595146,0.727865]",2898686546468
