k,accuracy,recall_per_label,precision_per_label,time
2,0.54792,"[0.73896,0.35688]","[0.534672,0.57755]",201407013183
4,0.56924,"[0.68128,0.4572]","[0.556565,0.589236]",201350724732
6,0.57988,"[0.65672,0.50304]","[0.569239,0.594385]",201493363018
10,0.59756,"[0.63712,0.558]","[0.590407,0.605942]",201308362898
20,0.61688,"[0.62272,0.61104]","[0.615531,0.618261]",201344493429
50,0.63412,"[0.61576,0.65248]","[0.639233,0.62937]",201381952724
100,0.63312,"[0.60232,0.66392]","[0.641858,0.625396]",201317934151
150,0.6326,"[0.63016,0.63504]","[0.63325,0.631956]",201373065890
