k,accuracy,recall_per_label,precision_per_label,time
1,0.55492,"[0.57312,0.53672]","[0.552991,0.556995]",100848513736
2,0.554,"[0.81312,0.29488]","[0.535567,0.612089]",100752483038
3,0.57764,"[0.58048,0.5748]","[0.577201,0.578084]",100785357076
5,0.59028,"[0.58136,0.5992]","[0.59192,0.588698]",100883944780
10,0.6026,"[0.70192,0.50328]","[0.585597,0.628032]",100898581395
25,0.62624,"[0.59688,0.6556]","[0.634115,0.619238]",100904826719
50,0.62532,"[0.60208,0.64856]","[0.631429,0.619754]",100905867348
75,0.6076,"[0.48808,0.72712]","[0.6414,0.586841]",100883602191
