alpha,k,accuracy,time
5,37,0.59564,"[0.64248,0.5488]","[0.587448,0.605526]",50336167395
5,75,0.6038,"[0.6676,0.54]","[0.592054,0.618982]",50138688883
5,112,0.60364,"[0.686,0.52128]","[0.588983,0.624078]",50140204105
5,187,0.60524,"[0.68808,0.5224]","[0.590282,0.626139]",50140667902
5,375,0.60772,"[0.70368,0.51176]","[0.590375,0.633304]",50147130897
5,937,0.60272,"[0.71912,0.48632]","[0.583323,0.633889]",50156433808
5,1875,0.59952,"[0.7312,0.46784]","[0.578774,0.6351]",50177295477
5,2812,0.59876,"[0.742,0.45552]","[0.576768,0.638412]",50184571937
10,37,0.61384,"[0.69016,0.53752]","[0.598765,0.634347]",63846494376
10,75,0.6196,"[0.71,0.5292]","[0.601287,0.645996]",63458992591
10,112,0.61924,"[0.72936,0.50912]","[0.597718,0.652919]",63450503943
10,187,0.61796,"[0.72872,0.5072]","[0.596568,0.651526]",63457354556
10,375,0.61688,"[0.744,0.48976]","[0.593188,0.656726]",63462848284
10,937,0.61256,"[0.76256,0.46256]","[0.586585,0.6608]",63472274975
10,1875,0.60756,"[0.7756,0.43952]","[0.580504,0.662007]",63495519120
10,2812,0.60368,"[0.78328,0.42408]","[0.57628,0.661798]",63519443191
15,37,0.62416,"[0.7276,0.52072]","[0.602877,0.656546]",75735014511
15,75,0.62668,"[0.74224,0.51112]","[0.602898,0.664759]",75161779062
15,112,0.62492,"[0.76184,0.488]","[0.598066,0.672028]",75162240280
15,187,0.62464,"[0.76296,0.48632]","[0.597631,0.672307]",75161538420
15,375,0.6216,"[0.77568,0.46752]","[0.592955,0.675763]",75166978278
15,937,0.616,"[0.78936,0.44264]","[0.586135,0.677566]",75180844510
15,1875,0.61092,"[0.80288,0.41896]","[0.580149,0.680042]",75199174896
15,2812,0.60776,"[0.81216,0.40336]","[0.576491,0.682273]",75219285759
20,37,0.63532,"[0.74344,0.5272]","[0.611261,0.672655]",88492174798
20,75,0.63692,"[0.76464,0.5092]","[0.609061,0.683894]",87727925493
20,112,0.63232,"[0.77896,0.48568]","[0.602313,0.687231]",87728314749
20,187,0.63528,"[0.78248,0.48808]","[0.604512,0.691723]",87729137315
20,375,0.63044,"[0.79552,0.46536]","[0.598063,0.694733]",87737411047
20,937,0.62372,"[0.81272,0.43472]","[0.589782,0.698907]",87749716508
20,1875,0.61696,"[0.8268,0.40712]","[0.582385,0.701544]",87771007498
20,2812,0.61176,"[0.83656,0.38696]","[0.577097,0.703052]",87792204859
50,37,0.66672,"[0.758,0.57544]","[0.640982,0.703954]",162827438517
50,75,0.66676,"[0.7756,0.55792]","[0.636949,0.713161]",160952619770
50,112,0.66404,"[0.7928,0.53528]","[0.630447,0.720935]",160954244080
50,187,0.6592,"[0.78984,0.52856]","[0.626221,0.715508]",160952856399
50,375,0.65416,"[0.79944,0.50888]","[0.619452,0.717298]",160949861416
50,937,0.64328,"[0.81128,0.47528]","[0.607246,0.715783]",160958165752
50,1875,0.63496,"[0.82312,0.4468]","[0.598059,0.716393]",160979432353
50,2812,0.63104,"[0.83568,0.4264]","[0.592984,0.721831]",161000376291
100,37,0.66024,"[0.76488,0.5556]","[0.632509,0.702651]",288257378851
100,75,0.66052,"[0.78296,0.53808]","[0.628944,0.712575]",283939292138
100,112,0.65676,"[0.79552,0.518]","[0.622706,0.716975]",284056598108
100,187,0.65676,"[0.7964,0.51712]","[0.622538,0.717505]",283956803996
100,375,0.65048,"[0.80216,0.4988]","[0.615455,0.716008]",283915233790
100,937,0.63984,"[0.80992,0.46976]","[0.604346,0.71193]",284038884868
100,1875,0.6324,"[0.81784,0.44696]","[0.59658,0.710453]",284027544540
100,2812,0.62892,"[0.83016,0.42768]","[0.591923,0.715758]",284066107629
500,37,0.65816,"[0.7636,0.55272]","[0.630616,0.700426]",1359316386158
500,75,0.66124,"[0.77968,0.5428]","[0.63036,0.71129]",1343583466493
500,112,0.6592,"[0.79576,0.52264]","[0.625047,0.719018]",1346172573543
500,187,0.6594,"[0.79552,0.52328]","[0.625291,0.719028]",1348089005447
500,375,0.6532,"[0.80296,0.50344]","[0.61789,0.718707]",1349398611079
500,937,0.64532,"[0.8152,0.47544]","[0.608467,0.720102]",1349921435918
500,1875,0.63792,"[0.83152,0.44432]","[0.599423,0.725065]",1350516729055
500,2812,0.63264,"[0.84856,0.41672]","[0.592636,0.733455]",1351165152359
1200,37,0.65844,"[0.758,0.55888]","[0.63213,0.697832]",3259620899140
1200,75,0.6636,"[0.77664,0.55056]","[0.633433,0.711391]",3204361536006
1200,112,0.66168,"[0.796,0.52736]","[0.627444,0.721068]",3205254843980
1200,187,0.659,"[0.79376,0.52424]","[0.625244,0.717665]",3206555864702
1200,375,0.65416,"[0.80728,0.50104]","[0.618018,0.722209]",3206476485876
