k,accuracy,recall_per_label,precision_per_label,time
4,0.58752,"[0.8264,0.34864]","[0.559225,0.667586]",404050455372
8,0.60412,"[0.82312,0.38512]","[0.572406,0.685267]",403970387884
12,0.609,"[0.8248,0.3932]","[0.576139,0.691766]",404012270319
20,0.61016,"[0.83136,0.38896]","[0.576373,0.697561]",403754843995
40,0.61324,"[0.85504,0.37144]","[0.576328,0.719287]",403715492937
100,0.60872,"[0.88896,0.32848]","[0.569671,0.747361]",403739807958
200,0.59152,"[0.92248,0.26056]","[0.555069,0.770705]",403645136008
300,0.57756,"[0.9404,0.21472]","[0.544945,0.782735]",403700907146
