k,accuracy,recall_per_label,precision_per_label,time
10,0.61656,"[0.8084,0.42472]","[0.584239,0.689123]",1009549867473
20,0.62768,"[0.8132,0.44216]","[0.593126,0.703002]",1011102604465
30,0.63392,"[0.82016,0.44768]","[0.597575,0.713412]",1012038675393
50,0.63832,"[0.82528,0.45136]","[0.600675,0.72093]",1010215344275
100,0.63632,"[0.8272,0.44544]","[0.598657,0.720497]",1010817534890
250,0.6266,"[0.82008,0.43312]","[0.591279,0.706512]",1011157963194
500,0.62376,"[0.81384,0.43368]","[0.589671,0.699664]",1011066447169
750,0.62356,"[0.80912,0.438]","[0.590116,0.696476]",1010372889707
